player,bowled,faced,bowler_type,bowler_arm,spin_kind,bat_hand,source_text,bat_source_text
V Kohli,264,7123,pace,right,,right,Right-arm Fast bowling medium,Right-handed
RA Jadeja,4329,2816,spin,left,finger,left,Slow left-arm orthodox,Left-handed
RG Sharma,349,5656,spin,right,finger,right,Right-arm off break,Right-handed
SP Narine,4721,1178,spin,right,finger,left,Right-arm off break,Left-handed
R Ashwin,4868,728,spin,right,finger,right,Right-arm off-break,Right-handed
S Dhawan,49,5481,spin,right,finger,left,Right-arm off break,Left-handed
AR Patel,3633,1635,spin,left,finger,left,Slow left-arm orthodox,Left-handed
B Kumar,4769,392,pace,right,,right,Right-arm Fast bowling medium,Right-handed
SK Raina,930,4174,spin,right,finger,left,Right-arm off-spin,Left-handed
SR Watson,2137,2888,pace,right,,right,Right-arm fast bowling fast-medium,Right-handed
DA Warner,2,4844,spin,right,wrist,left,Right arm Leg spin leg break,Left-handed
DJ Bravo,3296,1247,pace,right,,right,Right-arm fast bowling medium-fast,Right-handed
PP Chawla,3895,580,spin,right,wrist,left,Right-arm leg break,Left-handed
AM Rahane,6,4391,spin,right,finger,right,Right-arm off spin,Right-handed
KH Pandya,2779,1539,spin,left,finger,left,Slow left arm orthodox,Left-handed
KL Rahul,0,4293,,,,right,,Right-handed
YS Chahal,4167,89,spin,right,wrist,right,Right-arm leg break,Right-handed
Harbhajan Singh,3496,636,spin,right,finger,right,Right-arm off-spin,Right-handed
MS Dhoni,0,4101,,,,right,Right-arm Pace bowling medium,Right-handed
JH Kallis,1799,2291,pace,right,,right,Right arm Fast bowling fast-medium,Right-handed
CH Gayle,584,3502,spin,right,finger,left,Right-arm off-break,Left-handed
KA Pollard,1586,2433,pace,right,,right,Right-arm Fast bowling medium,Right-handed
Rashid Khan,3572,432,spin,right,wrist,right,Leg spin Leg break googly,Right-handed
HH Pandya,1865,2110,pace,right,,right,Right-arm fast bowling medium-fast,Right-handed
RV Uthappa,0,3925,,,,right,Right-arm pace bowling medium,Right-handed
A Mishra,3444,440,spin,right,wrist,right,Right-arm leg break,Right-handed
JJ Bumrah,3768,89,pace,right,,right,Right-arm Fast bowling fast,Right-handed
SV Samson,0,3770,,,,right,,Right-handed
KD Karthik,0,3684,,,,right,Right-arm off break,Right-handed
F du Plessis,6,3605,spin,right,wrist,right,Right-arm leg-break,Right-handed
G Gambhir,0,3524,,,,left,Right-arm leg spin leg break,Left-handed
YK Pathan,1184,2330,spin,right,finger,right,Right arm off spin off break,Right-handed
AD Russell,1885,1623,pace,right,,right,Right-arm Fast bowling fast,Right-handed
AT Rayudu,0,3490,,,,right,Right-arm off-spin,Right-handed
